Connecting to the chassis
Creating chassis object
Reserving ports
clearing...
time: 4
tcpAttemptRate: 50.95
tcpClientEstablishRate: 50.95
time: 5
tcpAttemptRate: 50.95
tcpClientEstablishRate: 50.95
time: 6
tcpAttemptRate: 100.2
tcpClientEstablishRate: 99.2
time: 7
tcpAttemptRate: 100.2
tcpClientEstablishRate: 99.2
time: 8
tcpAttemptRate: 149.4
tcpClientEstablishRate: 150.4
time: 9
tcpAttemptRate: 199.8
tcpClientEstablishRate: 199.8
time: 10
tcpAttemptRate: 250.1
tcpClientEstablishRate: 248.6
time: 12
tcpAttemptRate: 299.7
tcpClientEstablishRate: 299.7
time: 13
tcpAttemptRate: 299.7
tcpClientEstablishRate: 299.7
time: 14
tcpAttemptRate: 350
tcpClientEstablishRate: 349
time: 15
tcpAttemptRate: 350
tcpClientEstablishRate: 349
time: 16
tcpAttemptRate: 400.2
tcpClientEstablishRate: 400.2
time: 17
tcpAttemptRate: 450.5
tcpClientEstablishRate: 450
time: 18
tcpAttemptRate: 450.5
tcpClientEstablishRate: 450
time: 20
tcpAttemptRate: 500
tcpClientEstablishRate: 499
time: 21
tcpAttemptRate: 549.5
tcpClientEstablishRate: 547.5
time: 22
tcpAttemptRate: 549.5
tcpClientEstablishRate: 547.5
time: 23
tcpAttemptRate: 600.3
tcpClientEstablishRate: 597.8
time: 24
tcpAttemptRate: 650
tcpClientEstablishRate: 649
time: 25
tcpAttemptRate: 650
tcpClientEstablishRate: 649
time: 26
tcpAttemptRate: 699.5
tcpClientEstablishRate: 698
time: 28
tcpAttemptRate: 751
tcpClientEstablishRate: 751
time: 29
tcpAttemptRate: 751
tcpClientEstablishRate: 751
time: 30
tcpAttemptRate: 800
tcpClientEstablishRate: 798
time: 31
tcpAttemptRate: 850
tcpClientEstablishRate: 846.5
time: 32
tcpAttemptRate: 850
tcpClientEstablishRate: 846.5
time: 33
tcpAttemptRate: 900
tcpClientEstablishRate: 896.5
time: 35
tcpAttemptRate: 949
tcpClientEstablishRate: 946
time: 36
tcpAttemptRate: 1000
tcpClientEstablishRate: 999
time: 37
tcpAttemptRate: 1000
tcpClientEstablishRate: 999
time: 38
tcpAttemptRate: 1050
tcpClientEstablishRate: 1050
time: 39
tcpAttemptRate: 1050
tcpClientEstablishRate: 1050
time: 40
tcpAttemptRate: 1100
tcpClientEstablishRate: 1097
time: 41
tcpAttemptRate: 1150
tcpClientEstablishRate: 1148
time: 43
tcpAttemptRate: 1150
tcpClientEstablishRate: 1148
time: 44
tcpAttemptRate: 1200
tcpClientEstablishRate: 1197
time: 45
tcpAttemptRate: 1200
tcpClientEstablishRate: 1197
time: 46
tcpAttemptRate: 1251
tcpClientEstablishRate: 1249
time: 47
tcpAttemptRate: 1251
tcpClientEstablishRate: 1249
time: 48
tcpAttemptRate: 1300
tcpClientEstablishRate: 1299
time: 50
tcpAttemptRate: 1351
tcpClientEstablishRate: 1349
time: 51
tcpAttemptRate: 1351
tcpClientEstablishRate: 1349
time: 52
tcpAttemptRate: 1400
tcpClientEstablishRate: 1398
time: 53
tcpAttemptRate: 1400
tcpClientEstablishRate: 1398
time: 54
tcpAttemptRate: 1450
tcpClientEstablishRate: 1450
time: 55
tcpAttemptRate: 1450
tcpClientEstablishRate: 1450
time: 56
tcpAttemptRate: 1501
tcpClientEstablishRate: 1498
time: 57
tcpAttemptRate: 1549
tcpClientEstablishRate: 1545
time: 59
tcpAttemptRate: 1601
tcpClientEstablishRate: 1596
time: 60
tcpAttemptRate: 1650
tcpClientEstablishRate: 1649
time: 61
tcpAttemptRate: 1650
tcpClientEstablishRate: 1649
time: 62
tcpAttemptRate: 1699
tcpClientEstablishRate: 1698
time: 63
tcpAttemptRate: 1752
tcpClientEstablishRate: 1752
time: 64
tcpAttemptRate: 1752
tcpClientEstablishRate: 1752
time: 66
tcpAttemptRate: 1799
tcpClientEstablishRate: 1799
time: 67
tcpAttemptRate: 1852
tcpClientEstablishRate: 1845
time: 68
tcpAttemptRate: 1899
tcpClientEstablishRate: 1894
time: 69
tcpAttemptRate: 1899
tcpClientEstablishRate: 1894
time: 70
tcpAttemptRate: 1950
tcpClientEstablishRate: 1947
time: 71
tcpAttemptRate: 1950
tcpClientEstablishRate: 1947
time: 72
tcpAttemptRate: 2002
tcpClientEstablishRate: 1996
time: 73
tcpAttemptRate: 2050
tcpClientEstablishRate: 2046
time: 75
tcpAttemptRate: 2099
tcpClientEstablishRate: 2095
time: 76
tcpAttemptRate: 2099
tcpClientEstablishRate: 2095
time: 77
tcpAttemptRate: 2152
tcpClientEstablishRate: 2148
time: 78
tcpAttemptRate: 2200
tcpClientEstablishRate: 2174
time: 79
tcpAttemptRate: 2200
tcpClientEstablishRate: 2174
time: 80
tcpAttemptRate: 2250
tcpClientEstablishRate: 2236
time: 81
tcpAttemptRate: 2300
tcpClientEstablishRate: 2364
time: 83
tcpAttemptRate: 2349
tcpClientEstablishRate: 2269
time: 84
tcpAttemptRate: 2349
tcpClientEstablishRate: 2269
time: 85
tcpAttemptRate: 2400
tcpClientEstablishRate: 2175
time: 86
tcpAttemptRate: 2400
tcpClientEstablishRate: 2175
time: 87
tcpAttemptRate: 2400
tcpClientEstablishRate: 2175
time: 89
tcpAttemptRate: 2450
tcpClientEstablishRate: 2144
time: 90
tcpAttemptRate: 2500
tcpClientEstablishRate: 2086
time: 91
tcpAttemptRate: 2567
tcpClientEstablishRate: 2045
Found top value - canceling the test
Cleared ratelist is 0 50 100 149 199 250 299 350 400 450 500 549 600 650 699 751 800 850 900 949 1000 1050 1100 1150 1200 1251 1300 1351 1400 1450 1501 1549 1601 1650 1699 1752 1799 1852 1899 1950 2002 2050 2099 2152 2200 2250 2300 2349 2400 2450
Looking for max CPS that works continuously
Running with CPS: 2450
time: 7
tcpAttemptRate: 1225
tcpClientEstablishRate: 1223
time: 8
tcpAttemptRate: 1225
tcpClientEstablishRate: 1223
time: 9
tcpAttemptRate: 2368
tcpClientEstablishRate: 2301
time: 10
tcpAttemptRate: 2304
tcpClientEstablishRate: 2241
time: 11
tcpAttemptRate: 2304
tcpClientEstablishRate: 2241
time: 12
tcpAttemptRate: 2414
tcpClientEstablishRate: 2174
time: 13
tcpAttemptRate: 2350
tcpClientEstablishRate: 2104
time: 15
tcpAttemptRate: 2327
tcpClientEstablishRate: 2053
time: 16
tcpAttemptRate: 2327
tcpClientEstablishRate: 2053
time: 17
tcpAttemptRate: 2326
tcpClientEstablishRate: 1998
time: 18
tcpAttemptRate: 2326
tcpClientEstablishRate: 1998
time: 19
tcpAttemptRate: 2343
tcpClientEstablishRate: 2131
Cancelling test because of loss
Running with CPS: 2400
time: 5
tcpAttemptRate: 1190
tcpClientEstablishRate: 1189
time: 7
tcpAttemptRate: 2380
tcpClientEstablishRate: 2345
time: 8
tcpAttemptRate: 2380
tcpClientEstablishRate: 2345
time: 9
tcpAttemptRate: 2329
tcpClientEstablishRate: 2277
time: 10
tcpAttemptRate: 2358
tcpClientEstablishRate: 2319
time: 11
tcpAttemptRate: 2358
tcpClientEstablishRate: 2319
time: 12
tcpAttemptRate: 2335
tcpClientEstablishRate: 2208
time: 13
tcpAttemptRate: 2335
tcpClientEstablishRate: 2208
time: 14
tcpAttemptRate: 2231
tcpClientEstablishRate: 2045
time: 16
tcpAttemptRate: 2351
tcpClientEstablishRate: 2078
time: 17
tcpAttemptRate: 2395
tcpClientEstablishRate: 2127
time: 18
tcpAttemptRate: 2395
tcpClientEstablishRate: 2127
time: 19
tcpAttemptRate: 2322
tcpClientEstablishRate: 2103
time: 20
tcpAttemptRate: 2332
tcpClientEstablishRate: 2154
Cancelling test because of loss
Running with CPS: 2349
time: 6
tcpAttemptRate: 1173
tcpClientEstablishRate: 1171
time: 7
tcpAttemptRate: 2354
tcpClientEstablishRate: 2337
time: 8
tcpAttemptRate: 2354
tcpClientEstablishRate: 2337
time: 9
tcpAttemptRate: 2326
tcpClientEstablishRate: 2303
time: 11
tcpAttemptRate: 2246
tcpClientEstablishRate: 2171
time: 12
tcpAttemptRate: 2282
tcpClientEstablishRate: 2233
time: 13
tcpAttemptRate: 2282
tcpClientEstablishRate: 2233
time: 16
tcpAttemptRate: 2297
tcpClientEstablishRate: 2221
time: 18
tcpAttemptRate: 2317
tcpClientEstablishRate: 2146
time: 20
tcpAttemptRate: 2349
tcpClientEstablishRate: 2161
time: 22
tcpAttemptRate: 2349
tcpClientEstablishRate: 2063
time: 25
tcpAttemptRate: 2351
tcpClientEstablishRate: 2120
time: 29
tcpAttemptRate: 2316
tcpClientEstablishRate: 2140
Cancelling test because of loss
Running with CPS: 2300
time: 5
tcpAttemptRate: 2298
tcpClientEstablishRate: 2296
time: 6
tcpAttemptRate: 2303
tcpClientEstablishRate: 2296
time: 7
tcpAttemptRate: 2303
tcpClientEstablishRate: 2296
time: 8
tcpAttemptRate: 2281
tcpClientEstablishRate: 2261
time: 9
tcpAttemptRate: 2297
tcpClientEstablishRate: 2321
time: 10
tcpAttemptRate: 2262
tcpClientEstablishRate: 2264
time: 12
tcpAttemptRate: 2258
tcpClientEstablishRate: 2142
time: 13
tcpAttemptRate: 2258
tcpClientEstablishRate: 2142
time: 14
tcpAttemptRate: 2300
tcpClientEstablishRate: 2394
time: 15
tcpAttemptRate: 2300
tcpClientEstablishRate: 2394
time: 16
tcpAttemptRate: 2275
tcpClientEstablishRate: 2223
time: 17
tcpAttemptRate: 2275
tcpClientEstablishRate: 2223
time: 19
tcpAttemptRate: 2270
tcpClientEstablishRate: 2272
time: 20
tcpAttemptRate: 2297
tcpClientEstablishRate: 2250
time: 21
tcpAttemptRate: 2269
tcpClientEstablishRate: 2240
time: 22
tcpAttemptRate: 2269
tcpClientEstablishRate: 2240
time: 23
tcpAttemptRate: 2275
tcpClientEstablishRate: 2226
time: 25
tcpAttemptRate: 2300
tcpClientEstablishRate: 2098
time: 26
tcpAttemptRate: 2277
tcpClientEstablishRate: 2181
time: 27
tcpAttemptRate: 2277
tcpClientEstablishRate: 2181
time: 28
tcpAttemptRate: 2300
tcpClientEstablishRate: 2275
time: 29
tcpAttemptRate: 2300
tcpClientEstablishRate: 2275
time: 30
tcpAttemptRate: 2299
tcpClientEstablishRate: 2204
time: 31
tcpAttemptRate: 2300
tcpClientEstablishRate: 2117
time: 32
tcpAttemptRate: 2300
tcpClientEstablishRate: 2177
Cancelling test because of loss
Running with CPS: 2250
time: 7
tcpAttemptRate: 1124
tcpClientEstablishRate: 1122
time: 8
tcpAttemptRate: 1124
tcpClientEstablishRate: 1122
time: 9
tcpAttemptRate: 2237
tcpClientEstablishRate: 2225
time: 11
tcpAttemptRate: 2237
tcpClientEstablishRate: 2225
time: 12
tcpAttemptRate: 2218
tcpClientEstablishRate: 2219
time: 13
tcpAttemptRate: 2214
tcpClientEstablishRate: 2129
time: 14
tcpAttemptRate: 2214
tcpClientEstablishRate: 2129
time: 15
tcpAttemptRate: 2239
tcpClientEstablishRate: 2230
time: 16
tcpAttemptRate: 2239
tcpClientEstablishRate: 2230
time: 17
tcpAttemptRate: 2253
tcpClientEstablishRate: 2342
time: 18
tcpAttemptRate: 2232
tcpClientEstablishRate: 2231
time: 19
tcpAttemptRate: 2232
tcpClientEstablishRate: 2231
time: 20
tcpAttemptRate: 2249
tcpClientEstablishRate: 2248
time: 22
tcpAttemptRate: 2253
tcpClientEstablishRate: 2136
time: 23
tcpAttemptRate: 2253
tcpClientEstablishRate: 2136
time: 24
tcpAttemptRate: 2249
tcpClientEstablishRate: 2251
time: 25
tcpAttemptRate: 2250
tcpClientEstablishRate: 2248
time: 26
tcpAttemptRate: 2250
tcpClientEstablishRate: 2248
time: 27
tcpAttemptRate: 2250
tcpClientEstablishRate: 2225
time: 28
tcpAttemptRate: 2244
tcpClientEstablishRate: 2280
time: 30
tcpAttemptRate: 2244
tcpClientEstablishRate: 2280
time: 31
tcpAttemptRate: 2252
tcpClientEstablishRate: 2135
time: 32
tcpAttemptRate: 2252
tcpClientEstablishRate: 2135
time: 33
tcpAttemptRate: 2248
tcpClientEstablishRate: 2355
time: 34
tcpAttemptRate: 2248
tcpClientEstablishRate: 2355
time: 35
tcpAttemptRate: 2251
tcpClientEstablishRate: 2248
time: 37
tcpAttemptRate: 2249
tcpClientEstablishRate: 2246
time: 38
tcpAttemptRate: 2250
tcpClientEstablishRate: 2236
time: 39
tcpAttemptRate: 2250
tcpClientEstablishRate: 2137
time: 40
tcpAttemptRate: 2250
tcpClientEstablishRate: 2137
time: 41
tcpAttemptRate: 2251
tcpClientEstablishRate: 2246
time: 42
tcpAttemptRate: 2251
tcpClientEstablishRate: 2246
time: 43
tcpAttemptRate: 2248
tcpClientEstablishRate: 2346
time: 45
tcpAttemptRate: 2251
tcpClientEstablishRate: 2247
time: 46
tcpAttemptRate: 2251
tcpClientEstablishRate: 2247
time: 47
tcpAttemptRate: 2250
tcpClientEstablishRate: 2244
time: 48
tcpAttemptRate: 2250
tcpClientEstablishRate: 2244
time: 49
tcpAttemptRate: 2248
tcpClientEstablishRate: 2115
time: 50
tcpAttemptRate: 2251
tcpClientEstablishRate: 2284
time: 51
tcpAttemptRate: 2251
tcpClientEstablishRate: 2284
time: 53
tcpAttemptRate: 2250
tcpClientEstablishRate: 2111
time: 54
tcpAttemptRate: 2250
